id,reviews,service,location,value,cleanliness,room,facilities
39,早餐不那麼ok，講坦白很不好吃！！,2,0,0,0,0,0
41,老闆和老闆娘人很好，房間很大很整潔很舒適，老闆娘做的早餐很好吃！,1,0,0,1,1,0
43,有個很大的陽台，但可惜的是在住宅區內，在陽台放鬆的時候許多鄰居們的窗戶也都很近很近，陽台也就變的中看不重用,0,0,0,0,2,0
45,周圍買食物方便，離高速公路也很近,0,1,0,0,0,0
46,CP值很高的住宿體驗,0,0,1,0,0,0
47,早餐8.30才開始供應，對早起的我來說有點晚，其他都很不錯,2,0,0,0,0,0
48,可拍照、遛小孩、大人小孩都滿意,0,1,0,0,0,0
49,老闆人很好，房間很大很舒服～,1,0,0,0,1,0
53,地點便利離捷運站又近,0,1,0,0,0,0
54,地點離火車站非常近 老闆也很親切房間很乾淨冷氣很快就涼了讚讚 值得推薦,1,1,0,1,1,0
55,1.老闆娘很好，各種需求找她都能幫忙,1,0,0,0,0,0
56,老闆老闆娘很親切,1,0,0,0,0,0
59,老闆及員工服務態度非常好,1,0,0,0,0,0
60,水喔～住宿環境也很乾淨舒服，窗外風景很美有列車經過跟山相對應好像一幅畫,0,1,0,1,1,0
61,因為疫情的關係要取消訂房，播了訂房專線，結果客服人員的態度差到不行，口氣非常不好，因為疫情要取消旅遊已經很低落了，還要被用這種態度對待，覺得很差。,2,0,0,0,0,0
63,地理位置非常好且價格非常便宜,0,1,1,0,0,0
64,公共衛浴良好、床舖有上鎖的櫃子,0,0,0,0,1,1
65,有煙味。車庫偏小。,0,0,0,2,0,2
66,有的服務人員稍顯不夠親切與專業,2,0,0,0,0,0
68,住宿用品很齊全，還包含洗面乳跟乳液。,0,0,0,0,1,0
71,房間空間寬敞 枕頭跟床舒適 室內可泡溫泉 服務人員的服務員好 自助餐CP值很高,1,0,1,0,1,0
72,以自己也是從事服務業的角度看，服務熱情，專業度高,1,0,0,0,0,0
73,房間有斜角 感覺很不舒服,0,0,0,0,2,0
74,床鋪軟硬適中，睡起來真是舒服，一覺好眠,0,0,0,0,1,0
75,很舒服的空間，適合全家大小一大群人一起來這裡放空、放鬆,0,0,0,0,1,0
76,住的那間浴室排水較慢,0,0,0,0,2,0
77,民宿人員服務很棒、貼心、房間很舒服、環境很幽美。,1,1,0,0,1,0
78,住宿地點離東大門夜市很近，還不錯。,0,1,0,0,0,0
79,初二家族旅遊包5間房間，每間都很大很乾淨素西，來水社碼頭住宿找游阿嬤就對了。,0,0,0,1,1,0
81,床位有簾子，讓個人擁有一個私密空間。非常棒，每位背包客都非常有禮貌，互相配合。,0,0,0,0,1,0
82,床墊過軟會下陷，設備環境比照片裡、預期中的老舊,0,0,0,0,2,2
83,早餐相當豐富，有多樣的手作果醬/抹醬選擇，搭配現磨咖啡或特調冷飲、水煮營養土雞蛋及水果。吃飽飽，不怕早上遊玩沒體力。,1,0,0,0,0,0
84,環境還算感乾淨，但是房間很小，隔音效果不佳，價格也不親民。,0,0,2,1,2,0
85,房間空間及樓層走道太狹小，隔音有點差，可以聽到隔壁的聲音,0,0,0,0,2,2
87,民宿老闆很親切，詳細的解說每一個景點與該注意的事項！很棒的住宿體驗 ,1,0,0,0,0,0
89,老闆娘親切手藝又好，又有私房豆腐乳及黑豆醬油等暢銷料理，住三天都不想回家了,1,0,0,0,0,0
90,早餐很棒當地特色餐點服務人員都很細心,1,0,0,0,0,0
92,早餐實在太美味了！值得再訪！,1,0,0,0,0,0
93,老闆跟附近商店合作，可以憑早餐券與附近店家兌換想吃的東西，服務態度非常好，有求必應，有任何需求都會協助處理，非常舒適，cp值超高，住得很愉快。,1,0,1,0,0,0
96,大浴缸，大空間,0,0,0,0,1,0
97,湯屋空間寬敞，內附水、毛巾、浴巾及浴帽，還有小床可以休息，整體環境不錯。,0,0,0,0,0,1
100,床好睡哦，旅程就開心了一大半。,0,0,0,0,1,0
101,人員有待加強,2,0,0,0,0,0
102,水龍頭是壞的,0,0,0,0,2,0
103,入住時間建議還是打電話詢問，BOOKing資訊有誤，並非12:00入住。,2,0,0,0,0,0
105,"暖氣夠暖，衛浴有浴缸,4人房偏小，但五臟俱全。離旅客中心和商店街不遠。",0,1,0,0,1,0
106,早餐很好，位於天祥風景區附近，冷氣夠冷(因為這段時間很熱)。,1,1,0,0,1,0
108,入住前會電話聯繫,1,0,0,0,0,0
110,希望房間內能有掛衣帽的地方,0,0,0,0,2,0
112,住宿位置很方便。,0,1,0,0,0,0
113,牛排，只有紅酒燉牛肉，還有意大利麵等等，甜點及水果也有相當質量，當然也有冰淇淋。,1,0,0,0,0,0
114,床很好睡，很大,0,0,0,0,1,0
116,第二次住宿，平價.乾淨.舒適，老闆很熱心的介紹景點,1,0,1,1,1,0
118,早餐好好吃，老闆娘很親切,1,0,0,0,0,0
119,房間很乾淨，也寬敞，廁所稍擠一些，還在可允許範圍。,0,0,0,1,1,0
121,入住房間有小陽台，可以看到花蓮港。,0,0,0,0,1,0
122,平日性價比高，周末假日貴。,0,0,1,0,0,0
123,每個人的床都很大很舒適,0,0,0,0,1,0
126,小小建議，浴示都翻新了淋浴間還有放眼鏡的很貼心，但沒有掛浴巾真的很可惜,0,0,0,0,2,0
128,床很舒服，停車場在飯店門口很方便，早餐很豐富，服務人員很親切！,1,0,0,0,1,1
129,地點很棒，火車站附近走路就到。,0,1,0,0,0,0
131,到樓下賴客服，沒回應。還好在一樓遇到三樓住客才帶我們進去，隔天早上也都沒回覆我,2,0,0,0,0,0
132,希望房間的鎖頭可以更新，看似有點鬆脫。環境衛生可以再細心點。,0,0,0,2,2,0
133,房間有很重的煙味，尤其是廁所，房東表示廁所的排風整棟相通，可能有其他住戶在廁所裡抽菸漂到房間了。雖然可以理解，但煙味重到讓人非常不舒服，即使廁所門一直緊閉，我們所有的行李和衣物都還是沾上濃濃的煙味。另外床單和被單上有些許污漬，感覺不是每次都有更換；被子的材質不是絲質，即使有開冷氣仍然很熱。,0,0,0,2,2,0
134,百貨公司就在後面、逛街方便。,0,1,0,0,0,0
135,房間的擺設,0,0,0,0,0,0
138,住宿空間又大又乾淨，老闆娘超級好客，真的很棒的經驗,1,0,0,1,1,0
139,好吃、豐盛,1,0,0,0,0,0
140,民宿外觀屬歐式巴洛克建築風，非常古典漂亮。,0,1,0,0,0,0
141,wifi 訊號差,0,0,0,0,2,0
142,只是打個電話詢問問題，口氣沒很好就算了，還掛電話？連一顆都不想給,2,0,0,0,0,0
143,位置比較沒那麼熱鬧,0,2,0,0,0,0
144,步道規劃得宜，適合親子踏青。旅館餐廳口味不錯，水療池與溫泉區值得推薦。,1,0,0,0,0,1
145,毛巾和浴巾都是不織布拋棄型的，感覺很好很衛生。,0,0,0,1,1,0
146,一樓酒吧飲料不好喝,2,0,0,0,0,0
147,公共區域很大很舒適，,0,0,0,0,0,1
148,我們住在四樓（牡丹），房間門卡卡嚴重，出入門囗時聲響我自己也無法忍受。,0,0,0,0,2,0
150,沒有停車場，也無配合的停車場,0,0,0,0,0,2
151,房內很有日式風格,0,0,0,0,1,0
154,房間往外看就是海 很美,0,0,0,0,1,0
155,飯店樓下有全家、小7、咖啡廳，隔壁棟有大型商場，裡頭有一大票吃的還有全聯哦！,0,1,0,0,0,0
157,1.感謝四年級姐姐熱情招待,1,0,0,0,0,0
158,房間大，便宜,0,0,1,0,1,0
159,一個字(爛)花一樣錢都可去精品酒店住宿了,0,0,2,0,0,0
162,早餐不錯 還有按摩椅可以使用,1,0,0,0,0,1
163,位於市中心，方便性佳,0,1,0,0,0,0
165,床鋪跟枕頭偏軟，睡起來腰有點酸,0,0,0,0,2,0
166,"太多分店, 走錯家",0,2,0,0,0,0
167,因為入住時間較晚，員工還是非常有耐心的等我們check in，隔天也多給我們時間準備退房，非常貼心！,1,0,0,0,0,0
170,Ps.有請櫃檯派人員來聽，連服務人員一開始都誤以為是有房客放音樂開派對的聲音⋯⋯,0,0,0,0,2,0
174,民宿老闆很親切，還切自己種的水果給我們吃. 房間裡面乾淨又寬敞.,1,0,0,1,1,0
175,房間太小，沒有垃圾桶，隔音不好，大廳講話的聲音都聽得到,0,0,0,0,2,0
177,早餐和提供自行車,1,0,0,0,0,1
181,山上較涼，被子稍嫌不夠，如能加被就更完美,0,0,0,0,2,0
183,2、住宿地點往北恆春往南墾丁都在5~10分鐘車程內，往貓鼻頭也很近。,0,1,0,0,0,0
187,早餐選擇性不多，早上八點半用餐時已經剩沒幾樣菜色可以選,2,0,0,0,0,0
188,早上蠻晚去吃早餐，阿姨已經收完菜了，但還是特地幫我們裝菜給我們,1,0,0,0,0,0
190,早餐是老闆提供的早餐券，三家早餐店任你選，超有趣的方式啊～,1,0,0,0,0,0
191,位置滿靠近火車站的 當作散步很合適！,0,1,0,0,0,0
194,冷氣應該保養了,0,0,0,0,2,0
195,有蒸汽功能的淋浴間 很特別,0,0,0,0,1,0
199,入住時因疫情人手短缺 在12樓等待許久才等到接待人員,2,0,0,0,0,0
200,位置佳，服務人員態度很好～,1,1,0,0,0,0
210,地點方便，性價比高,0,1,1,0,0,0
211,半年前環島遇到途中,0,0,0,0,0,0
212,入住時間與電話協商不同,2,0,0,0,0,0
213,早餐選擇非常少，極不適合小朋友，連牛奶，果汁，豆漿都沒有。,2,0,0,0,0,0
214,沒有，飯店人員值得最高等的稱讚,1,0,0,0,0,0
215,房間用具一應俱全，是很新的民宿，住起來很舒服，民宿老闆非常熱情,1,0,0,0,1,0
217,老婆進出房搭電梯覺得有些可怕，太安靜了,0,0,0,0,0,2
219,各方面都很不錯，距離市區也蠻近的,0,1,0,0,0,0
220,早餐普通，不提供停車,2,0,0,0,0,2
221,房間很舒適，員工態度很親切,1,0,0,0,1,0
222,地段好、附設免費停車位，價格親民，整體cp值高,0,1,1,0,0,1
224,地點方便 近六合夜市 隔壁有bar 覓食便利 尤其性價比高,0,1,1,0,0,0
226,很棒的地方，可以很自在放鬆！板娘親切，但自行車部份希望可以汰舊換新，不是很好騎，椅墊部份偏低，但多處已生鏽，已不好調整，騎起來蠻累人的！不能好好騎遠一點~這個比較可惜,1,0,0,0,0,2
228,老闆娘有人情味，對待我們就像媽媽一樣。房間乾淨，一進房我先生就說下次來可以再住這邊。喜歡房間簡單的設計感，地板超乾淨！早餐是當地小吃，吃很飽，而且老闆娘在我們離開前還買了阿媽麻糬給我品嚐，好吃,1,0,0,1,1,0
229,工作人員服務態度親切,1,0,0,0,0,0
230,超級漂亮的房間 好像把整個文創市集搬進整個房子 一樓到三樓樓梯間都可以欣賞,0,0,0,0,1,1
231,老闆跟老闆娘都很親切，住起來毫無壓力很放鬆！下次有機會會再來,1,0,0,0,0,0
232,老闆十分熱情和好客 對花蓮十分熟悉 能把店鋪的營業時間滾瓜爛熟地背出來 超讚,1,0,0,0,0,0
234,住宿位置離市區稍遠，房間稍微悶了一些,0,2,0,0,2,0
235,整路吃三星蔥餅，蔥肉串，各家都有特色，炒羊肉名店還是擠不進，就是一路吃就對了！,0,1,0,0,0,0
236,我們住的浴室格局有點狹小,0,0,0,0,2,0
241,此次入住二人房跟四人房，隔音其實沒想像中的差，可能剛好遇到有水準的房客，睡的蠻好的，浴室淋浴水夠大夠熱洗的很舒服，早餐也算豐富好吃，清粥小菜，吐司饅頭，咖啡都有，早上老闆會帶看祕境日出，離民宿很近不錯，老闆人很好會介紹景點,1,1,0,0,1,0
242,老闆娘很親切，主題房大人小孩都粉愛，民宿還提供很多漂亮的小禮服穿,1,0,0,0,1,1
243,1. 價格算便宜CP值還算高(雙人房$1198),0,0,1,0,0,0
244,110V插座只有四座，其中一個還是壞的，根本不夠用。,0,0,0,0,2,0
245,小小的缺點是沒有放置行李的櫃子，因為住下鋪，就直接放在床旁邊的地板上了。,0,0,0,0,2,0
246,1.入房時，未提供盥洗用具（後來有到櫃檯反應）,0,0,0,0,2,0
249,好地點好服務 軟硬設施不錯,1,1,0,0,1,1
250,房間很大很舒適，老闆娘人美善良。離火車站很近，大推這家民宿！,1,1,0,0,1,0
251,老闆的服務態度跟說話語氣都非常的溫和，給人有不錯的印象,1,0,0,0,0,0
252,早餐跟背包客棧來比，算是相當不錯了!,1,0,0,0,0,0
253,房東超親切，房間很乾淨又舒適，若房間有冰箱與煮水壺更棒。,1,0,0,1,2,0
255,CP值高，下次去花蓮還會入住。唯一床鋪無床架對於我個人腰椎有問題上下床比較困難。,0,0,1,0,2,0
256,房間幽靜，櫃台小姐和老闆娘人非常nice，晚餐早餐用心，203房間夜景雲海美麗,1,0,0,0,1,0
257,房間大又新，枕頭好躺，還附贈早餐，衣服有洗衣機和陽台，免治馬桶很方便。,1,0,0,0,1,0
258,室內停車場位子不多，需停在室外 浴室空間小 人員服務態度不錯 早餐好吃 房價偏高,1,0,2,0,2,2
259,可惜疫情期間沒有提供早餐,2,0,0,0,0,0
260,主人親切，房間乾淨 門口可停車，大廳有來至各地的旅人 氣氛很棒,1,0,0,1,1,1
262,位於西子灣，很溫馨的小店，老闆娘熱情，建築為老房改建，有其特色，還有可愛貓咪，但如果怕貓，還會為您避免接觸，新創不久，是外出旅行的小資好選擇,1,1,1,0,0,0
263,地理位置佳，距離夜市近走路只要3分鐘。,0,1,0,0,0,0
266,隱藏版民宿，便宜房間又大，沒有壓力，不內行的還找不到。,0,0,1,0,1,0
268,cp值很高了！沒得嫌！,0,0,1,0,0,0
269,主人親切的招呼 溫暖分享自栽芭蕉,1,0,0,0,0,0
270,地點離鬧區大概10分鐘車程而已。,0,1,0,0,0,0
271,Check in時櫃檯人員衣衫不整，裙子撩的很高，我們人都進來了也沒有要整理自行服裝，另外原本可提供的刷卡服務，因機器問題導致無法付款實在尷尬，好險同行友人詢問是否能用匯款的才解決付費的窘境。,2,0,0,0,0,0
274,老闆服務很親切，房間及環境衛生意外中的乾淨 隔音也蠻好的，還有停車場方便停車。,1,0,0,1,1,1
275,主人對於需求都能盡力滿足,1,0,0,0,0,0
276,車子停放比較不方便，但是可以用大眾運輸來彌補,0,0,0,0,0,2
277,方便整潔！,0,1,0,1,0,0
278,大熱天房間冷氣真的不夠涼睡覺會流汗，浴室置物架有點鬆脫稍傾斜，蓮蓬頭上下切換器有問題很難使用，隔音不太好走廊上聲音聽的一清二楚，因為冷氣問題後來協助換了另一間房，又發現馬桶坐墊上有髒污沒清乾淨，我們當下其實只反應了冷氣問題，其他問題大致上就是勉強還能使用,0,0,0,0,2,0
279,床太老舊，有聲響,0,0,0,0,2,0
280,有小套房的溫馨感覺,0,0,0,0,1,0
283,房間很漂亮，空間規劃設計的我好想常駐，櫃檯人員24小時都在，有line 的客服可以詢問訂房事宜。,1,0,0,0,1,0
284,1.Kano房的共用浴室過小，給人一種壓迫感。,0,0,0,0,2,0
285,早餐好吃，服務人員態度很好，房間乾淨,1,0,0,1,1,0
286,"地點位置很棒,晚上夜景很美,住宿有早餐,園區寬廣,還有一些設施可以體驗",1,1,0,0,0,1
287,冷氣的水滴聲，兩晚都有。,0,0,0,0,2,0
288,早餐美味健康而且有許多新鮮的水果，並且很貼心依客人需求而制定。,1,0,0,0,0,0
290,平日的價錢還算合理,0,0,1,0,0,0
291,住宿位置緊鄰東大門，很棒走路就會到,0,1,0,0,0,0
292,房間出乎意料的舒適跟大間，整體很滿意,0,0,0,0,1,0
293,位於眾多旅館之大樓 不易找,0,2,0,0,0,0
294,3000元晚的四人房個很划算，除了停車位怪怪的其他都很優秀，房型大，也乾淨，高雄巨蛋與瑞豐夜市走路10分鐘就到了，床野蠻好睡的，還有附早餐，<總之:價格便宜離鬧區又近還附早餐且乾淨。>,1,1,1,1,1,2
297,環境優美，餐飲有特色，主人服務親切，一級棒。,1,1,0,0,0,0
298,老闆夫妻很親切，笑容滿面,1,0,0,0,0,0
299,早餐可多一點選擇,2,0,0,0,0,0
300,老闆娘很親切，外籍人員也很可愛。,1,0,0,0,0,0
302,房東先生人都很親切而且有問必答，還每天準備親手製作的早餐、也很熱心介紹花蓮必吃的美食，還有腳踏車可以租借，連退房還問我們要不要帶水在路上喝。,1,0,0,0,0,1
303,在2021.11住一晚，很舒適的旅店，廁所浴室都很大很乾淨，床很軟，很滿意！,0,0,0,1,1,0
306,希望有停車場供房客使用,0,0,0,0,0,2
309,地點方便，很多貼心小提醒,1,1,0,0,0,0
311,住宿地點離市區很近方便,0,1,0,0,0,0
313,平日早餐只有吐司夾果醬及咖啡 房間隔音很差,2,0,0,0,2,0
314,房間比較小，含衛浴應該在4坪以下。,0,0,0,0,2,0
315,地點很好，位於剛開幕的和興青創基地旁，可以去逛些小店，走5分鐘左右可以到第一市場吃東西，民宿也設有免費停車場,0,1,0,0,0,1
316,地點在寂靜的田園中，周遭沒有其他住家，很悠閒舒適。,0,1,0,0,0,0
317,好棒的民宿，景觀4人房，view好、環境優美，床大又舒適，老闆很親切，值得推薦,1,1,0,0,1,0
318,西式早餐，老闆自製麵包很讚！,1,0,0,0,0,0
319,1.地理位置：離火車站非常近，去市區也不遠，若沒有別的房客可將車子停在民宿前方車庫，路邊停車也方便。,0,1,0,0,0,1
320,床的兩邊都能有小桌子和檯燈,0,0,0,0,1,0
321,1.起先房間完全沒整理，不過跟店員溝通完後就立刻換房,1,0,0,0,2,0
322,房間乾淨，價錢便宜，重點幫我把東西寄回還幫我出運費，老闆人也太好了,1,0,1,1,1,0
323,地點方便，去熱鬧的景點一下子就到了！,0,1,0,0,0,0
324,很特別的住宿，古色古香的民宿讓行程增添一份懷舊氣息！很棒～,0,1,0,0,0,0
326,老板娘不错，还推荐我们去什么地方好玩，早餐很棒，营养丰富，都是现做的，离火车站步行10分钟左右，挺近的,1,1,0,0,0,0
328,老闆很親切、早餐好好吃,1,0,0,0,0,0
330,早餐 第二天早餐等太久,2,0,0,0,0,0
333,有潤髮乳很棒很方便~客房風格也很喜歡,0,0,0,0,1,0
336,有一個小孩可以放放電的空間，還有大書房可以放鬆享受，房間還貼心的準備兒童便座。離遠雄海洋公園也不遠，是下次還有考慮入住的民宿。,0,1,0,0,1,0
338,床太好睡了,0,0,0,0,1,0
342,整體感覺蠻像Airbnb款的經營民宿。廁所設計上淋浴沒有門，所以馬桶邊也會濕到。,0,0,0,0,2,0
349,床舒適，早餐尚可,2,0,0,0,1,0
350,住宿空間大又有陽台景觀,0,0,0,0,1,0
354,房間有一道連通隔壁的門，是上鎖的，但是會很明顯聽到隔壁的聲音,0,0,0,0,2,0
355,住宿位置離車站很近！提供的早餐好吃，中西式都有！接待人員親切有禮，整體而言十分滿意。,1,1,0,0,0,0
356,我覺得洗髮精洗完頭髮太乾了,0,0,0,0,2,0
358,工業風不錯,0,1,0,0,0,0
360,半夜小孩聲音還很大,0,0,0,0,2,0
361,只有浴室熱水OK,0,0,0,0,1,0
363,地點臨近火車站,0,1,0,0,0,0
366,"1.房間設計不好，入口後是床鋪，再來沙發跟電視是L倒型，看電視是斜左眼看又近2.早餐蠻簡單一份稀飯定食，價格6200就太寒酸了3.官網二人房週六也是6200,直接打電話9折，訂book ing6200，我頭壞掉了",2,0,2,0,2,0
368,交誼廳整潔乾淨，床位舒適,0,0,0,1,1,1
369,希望能增加烘衣機。,0,0,0,0,0,2
370,马桶圈是坏的，用起来很不舒服啊,0,0,0,0,2,0
371,乾淨整齊，美中不足隔音有點不好,0,0,0,1,2,0
372,房間很大 乾淨 圖文相符,0,0,0,1,1,0
373,寧靜優美，路口有湧泉，旁有店家-新鮮砂鍋魚頭,0,1,0,0,0,0
374,可惜沒有附保險套,0,0,0,0,2,0
375,床太硬 不好睡,0,0,0,0,2,0
377,很棒的環境，房間也很乾淨舒服，夜晚很放鬆，值得下次再來,0,1,0,1,1,0
379,民宿主人用心，值得推薦。,1,0,0,0,0,0
380,沒有停車位置稍顯可惜,0,0,0,0,0,2
382,老闆娘很親切，每個房間用心設計不同主題與風格,1,0,0,0,1,0
383,沐用品、現做早餐等許多細節上都能感受主人的用心~,1,0,0,0,1,0
384,各方面都不錯感覺就床有點硬,0,0,0,0,2,0
386,上下樓層有電梯很方便,0,0,0,0,0,1
387,可以體驗住在RV，並且有超棒的景色,0,0,0,0,1,0
388,不論是房間清潔度還舒適度都很棒，員工也很親切，飯店外面也有公車到天祥及其他景點,1,1,0,1,1,0
391,咖啡有點淡,2,0,0,0,0,0
392,巴厘島風格的民宿，裝潢擺設很用心，只是房間隔音差了點,0,1,0,0,2,0
393,位置價格服務態度都非常好,1,1,1,0,0,0
395,民宿阿姨超親切,1,0,0,0,0,0
400,床超好睡！軟硬適中~~~連怕在外面認床的我，都睡的很好！,0,0,0,0,1,0
401,老闆跟老闆娘親切、好客、健談，房間乾淨寬敞，迎賓小白很可愛，女兒很愛跟牠玩，讓人會在回住的民宿,1,0,0,1,1,0
403,價錢公道.老闆.老闆娘全家大小都很親切.風景優美。,1,1,1,0,0,0
404,老闆人超好  環境很清幽  動物很可愛  很棒的住宿體',1,1,0,0,0,0
405,同住旅客半夜十二點多拖著行李箱入住，這真的是我住背包房最怕的一件事情之一,0,0,0,0,2,0
406,環境整潔 設備新穎 價錢公道便宜 員工親切 服務周到,1,0,1,1,0,1
407,可能因為是2張單人床的房間，房間並沒有對外窗，另外冷氣很冷，調節溫度好像沒1用,0,0,0,0,2,0
408,房間很大間，小孩在裡面玩得很開心 而且床好舒服唷  老闆，老闆娘人很親切 ,1,0,0,0,1,0
410,早餐尚需加強，但是還能接受就是了,2,0,0,0,0,0
412,床圍很鬆 小朋友半夜掉下床,0,0,0,0,2,0
413,民宿老闆與員工非常親切,1,0,0,0,0,0
417,房間空間大，乾濕分離的浴室，整體上非常的好，空間舒適睡得不錯。,0,0,0,0,1,0
418,房間很乾淨，床墊很舒服，老闆很親切。,1,0,0,1,1,0
420,性價比高，位置好,0,1,1,0,0,0
421,早餐不錯吃會送至房間,1,0,0,0,0,0
422,手做早餐很健康美味。蛋餅、水果、吐司、仙草茶，都很溫暖有溫度。,1,0,0,0,0,0
423,在房間可以泡溫泉，很不錯！,0,0,0,0,1,0
424,沒有，這個價位有更好的選擇,0,0,2,0,0,0
426,此次是休閒旅遊～並沒有特定地點,0,0,0,0,0,0
427,"第一天入住就看到有蟑螂, 廁所花灑水管漏水, 洗澡水壓和水量都不夠, 沖廁水力非常弱! 甚至沒有投入衛生紙也難以沖去排泄物, 整個樓層都很舊很潮濕!行程類型度假客房1.0位置4.0服務3.0",0,1,0,2,2,0
429,有小蟲，毛巾泛黃，沒紙拖鞋，入住時間太晚要下午4點,2,0,0,2,2,0
431,1.床很好睡！,0,0,0,0,1,0
432,有宵夜及早餐可以吃,1,0,0,0,0,0
433,房間太小了,0,0,0,0,2,0
435,床太軟，睡了不舒服,0,0,0,0,2,0
437,有一點很不好意思的是 浴缸的水一個沒注意的話會直接流到房間。,0,0,0,0,2,0
439,有少數螞蟻會不時爬到床上、床單有點不安靜有黃黃的、隔音不是很好不知道是內部水管聲音還是戶外冷氣滴到屋頂的聲音 整夜無法入眠一直聽到類似滴答滴答的聲音,0,0,0,2,2,0
441,今天來二樓餐廳商業午餐，人少，自助沙拉吧樣式份量少，主餐品質不錯。,1,0,0,0,0,1
442,早餐有中、西式滿足不同需求的人，中式熱炒蠻多樣的，讓在外旅遊蔬果攝取不是這麼充足的人，可以方便的攝取到大量的蔬菜，真的好棒，也很好吃!,1,0,0,0,0,0
444,房間很小 電視也很小,0,0,0,0,2,0
446,希望能有專門放行李箱的平台，掛衣服衣桿位置能做調整，卡在床邊操作不方便,0,0,0,0,2,0
448,"或許因為是邊間, 房間有管線線路的轟轟聲, 影響睡眠",0,0,0,0,2,0
449,老闆非常親切而且很細心，也可以幫忙代訂行程，房間又大又美，來澎湖非常推薦!,1,0,0,0,1,0
450,希望能有公共交通經過。,0,2,0,0,0,0
451,四點到達房間還沒好,2,0,0,0,0,0
452,早餐超棒的，必加點,1,0,0,0,0,0
453,床很舒適整體設計也很棒！,0,0,0,0,1,0
456,早餐種類可以再多一些選擇,2,0,0,0,0,0
458,可以一夜好眠的床,0,0,0,0,1,0
459,地點佳，配合早餐店很棒！,1,1,0,0,0,0
460,老闆人超好～～～入住聊天時發現原來跟老闆是同鄉！實在太巧了！附近環境好停車晚上也安靜～～！重點房間很棒！去安平各個景點都不會很遠～～～大推,1,1,0,0,1,0
462,早餐很好吃！對於只是簡單住宿一晚非常適合,1,0,0,0,0,0
464,安靜 離捷運非常近 水很大,0,1,0,0,1,0
465,沒有機車專屬的停車格，電梯很慢,0,0,0,0,0,2
466,住宿位置極佳,0,1,0,0,0,0
468,"早餐有待改進,床單發現沒有更換,有前面的人的血跡",2,0,0,0,2,0
469,冷氣功能要確認正常,0,0,0,0,2,0
470,早餐特別 沒有餐廳，但是會送麥當勞,1,0,0,0,0,2
472,地段方便，價格實惠,0,1,1,0,0,0
473,安全便利門禁系統管理 房間舒適乾淨,0,0,0,1,1,1
474,位置方便、CP值高、房間乾淨整潔又寬敞,0,1,1,1,1,0
480,老闆非常感謝他的介紹及接待,1,0,0,0,0,0
